"","SetID","P.value","N.Marker.All","N.Marker.Test"
"279","CNKSR1",1,14,0
"280","CNN3",1,4,0
"281","CNR2",1,1,0
"282","COA7",1,1,0
"283","COL11A1",1,34,0
"284","COL16A1",1,37,0
"285","COL24A1",1,20,0
"286","COL8A2",1,14,0
"287","COL9A2",1,12,0
"288","COL9A2\x3bSMAP2",1,5,0
"289","COP1",1,6,0
"290","COPA",1,20,0
"291","CORT",1,2,0
"292","CPLANE2",1,1,0
"293","CPT2",1,3,0
"294","CPTP",1,5,0
"295","CRABP2",1,1,0
"296","CREB3L4",1,6,0
"297","CREG1",1,4,0
"298","CRNN",1,6,0
"299","CROCC",1,40,0
"300","CROCCP2",1,5,0
"301","CRP",1,1,0
"302","CRTC2",1,13,0
"303","CRYBG2",1,14,0
"304","CRYZ",1,1,0
"305","CRYZL2P-SEC16B\x3bSEC16B",1,10,0
"306","CSDE1",1,2,0
"307","CSF1",1,8,0
"308","CSF3R",1,12,0
"309","CSMD2",1,38,0
"310","CTBS",1,1,0
"311","CTH",1,6,0
"312","CTNNBIP1",1,2,0
"313","CTPS1",1,6,0
"314","CTRC",1,3,0
"315","CTSK",1,3,0
"316","CTTNBP2NL",1,3,0
"317","CYB561D1",1,8,0
"318","CYB561D1\x3bAMIGO1",1,1,0
"319","CYB5RL",1,4,0
"320","CYP2J2",1,3,0
"321","CYP4A11",1,10,0
"322","CYP4A22",1,5,0
"323","CYP4B1",1,5,0
"324","CYP4X1",1,4,0
"325","CYP4Z1",1,6,0
"326","CYP4Z2P",1,1,0
"327","CZIB",1,3,0
"328","DAB1",1,5,0
"329","DAB1\x3bOMA1",1,1,0
"330","DAP3",1,3,0
"331","DARS2",1,10,0
"332","DBT",1,7,0
"333","DCAF6",1,10,0
"334","DCAF8",1,9,0
"335","DCAF8\x3bLOC100287049",1,4,0
"336","DCDC2B",1,3,0
"337","DCLRE1B",1,1,0
"338","DCST1",1,9,0
"339","DCST1-AS1",1,9,0
"340","DCST2",1,13,0
"341","DDAH1",1,6,0
"342","DDI2",1,4,0
"343","DDOST",1,5,0
"344","DDR2",1,15,0
"345","DDX11L1\x3bLOC102725121",1,4,0
"346","DDX20",1,5,0
"347","DENND2C",1,5,0
"348","DENND2D",1,6,0
"349","DENND4B",1,14,0
"350","DEPDC1",1,4,0
"351","DEPDC1-AS1",1,1,0
"352","DFFA",1,3,0
"353","DFFB",1,2,0
"354","DHCR24",1,5,0
"355","DHDDS",1,3,0
"356","DHRS3",1,4,0
"357","DIO1",1,2,0
"358","DIO1\x3bHSPB11",1,4,0
"359","DIPK1A",1,3,0
"360","DIPK1A\x3bRPL5",1,1,0
"361","DIRAS3",1,3,0
"362","DISP3",1,7,0
"363","DLGAP3",1,17,0
"364","DMAP1",1,4,0
"365","DMBX1",1,6,0
"366","DMRTA2",1,4,0
"367","DMRTB1",1,6,0
"368","DNAJB4",1,4,0
"369","DNAJC11",1,11,0
"370","DNAJC16",1,5,0
"371","DNAJC6",1,4,0
"372","DNAJC8",1,2,0
"373","DNALI1",1,3,0
"374","DNASE2B",1,1,0
"375","DNM3",1,10,0
"376","DNTTIP2",1,7,0
"377","DOCK7",1,21,0
"378","DPH2",1,6,0
"379","DPM3",1,1,0
"380","DPYD",1,6,0
"381","DR1",1,3,0
"382","DRAXIN",1,4,0
"383","DRD5P2\x3bLOC101060524",1,2,0
"384","DUSP12",1,4,0
"385","DUSP23",1,1,0
"386","DUSP27",1,13,0
"387","DVL1",1,12,0
"388","E2F2",1,5,0
"389","EBNA1BP2",1,3,0
"390","ECE1",1,13,0
"391","ECE1-AS1",1,1,0
"392","ECE1\x3bNBPF3",1,10,0
"393","ECHDC2",1,5,0
"394","ECM1",1,5,0
"395","EDN2",1,1,0
"396","EEF1AKNMT",1,7,0
"397","EFCAB14",1,2,0
"398","EFCAB7",1,4,0
"399","EFHD2",1,3,0
"400","EFNA1",1,1,0
"401","EFNA3",1,7,0
"402","EFNA4",1,3,0
"403","EIF2B3",1,1,0
"404","EIF3I",1,2,0
"405","EIF4G3",1,24,0
"406","ELAVL4",1,3,0
"407","ELOA",1,8,0
"408","ELOVL1",1,1,0
"409","EMBP1",1,1,0
"410","EMC1",1,13,0
"411","ENO1",1,4,0
"412","ENSA",1,6,0
"413","EPB41",1,5,0
"414","EPHA10",1,13,0
"415","EPHA2",1,13,0
"416","EPHA8",1,13,0
"417","EPHB2",1,6,0
"418","EPHX4",1,1,0
"419","EPS15",1,7,0
"420","EPS8L3",1,18,0
"421","ERI3",1,6,0
"422","ERICH3",1,15,0
"423","ERICH3-AS1",1,1,0
"424","ERMAP",1,5,0
"425","ERRFI1",1,8,0
"426","ESPN",1,11,0
"427","ESPNP",1,15,0
"428","ETV3",1,2,0
"429","ETV3L",1,3,0
"430","EVA1B",1,1,0
"431","EVI5",1,12,0
"432","EXO5",1,5,0
"433","EXOSC10",1,11,0
"434","EXTL1",1,8,0
"435","EXTL2",1,4,0
"436","EYA3",1,5,0
"437","F11R",1,3,0
"438","F11R\x3bTSTD1",1,2,0
"439","F3",1,5,0
"440","F5",1,15,0
"441","FAAH",1,13,0
"442","FAAP20",1,3,0
"443","FABP3",1,1,0
"444","FAF1",1,4,0
"445","FAM102B",1,4,0
"446","FAM102B\x3bHENMT1",1,1,0
